inep;oce_tipo_acesso;oce_status_final;oce_pendencia
15022790;Satélite;Escola Conectada;Escola Conectada
15546675;Satélite;Escola Conectada;Escola Conectada
15023974;Satélite;Escola Conectada;Escola Conectada
15546721;Satélite;Escola Conectada;Escola Conectada
15022757;Satélite;Escola Conectada;Escola Conectada
15549470;Satélite;Escola Conectada;Escola Conectada
15023273;Satélite;Escola Conectada;Escola Conectada
15023397;Satélite;Escola Conectada;Escola Conectada
15023419;Satélite;Escola Conectada;Escola Conectada
15023494;Satélite;Escola Conectada;Escola Conectada
15023982;Satélite;Escola Conectada;Escola Conectada
15546616;;Pendência Operacional;Sem EN (ex-EACE)
15023052;Satélite;Escola Conectada;Escola Conectada
15022986;;Pendência Operacional;Sem EN (ex-EACE)
15023168;Satélite;Escola Conectada;Escola Conectada
15549461;;Pendência Operacional;Sem EN (ex-EACE)
15023702;Satélite;Escola Conectada;Escola Conectada
15549542;;Pendência Operacional;Sem EN (ex-EACE)
15141381;Satélite;Escola Conectada;Escola Conectada
15023508;;Pendência Operacional;Sem EN (ex-EACE)
15022722;Satélite;Escola Conectada;Escola Conectada
15023087;Satélite;Escola Conectada;Escola Conectada
15141250;Satélite;Escola Conectada;Escola Conectada
15023389;;Pendência Operacional;Sem EN (ex-EACE)
15023230;Satélite;Escola Conectada;Escola Conectada
15024121;;Pendência Operacional;Sem EN (ex-EACE)
15023370;Satélite;Escola Conectada;Escola Conectada
15546624;;Pendência Operacional;Sem EN (ex-EACE)
15549437;Satélite;Escola Conectada;Escola Conectada
15023060;Satélite;Escola Conectada;Escola Conectada
15023958;Satélite;Escola Conectada;Escola Conectada
15022684;;Pendência Operacional;Sem EN (ex-EACE)
15022854;Satélite;Escola Conectada;Escola Conectada
15023141;Satélite;Escola Conectada;Escola Conectada
15023176;Satélite;Escola Conectada;Escola Conectada
15023010;Satélite;Escola Conectada;Escola Conectada
15024083;Satélite;Escola Conectada;Escola Conectada
15557065;Satélite;Escola Conectada;Escola Conectada
15023621;;Pendência Operacional;Sem EN (ex-EACE)
15141438;Satélite;Escola Conectada;Escola Conectada
15023770;Satélite;Escola Conectada;Escola Conectada
15023117;Satélite;Escola Conectada;Escola Conectada
15523209;Satélite;Escola Conectada;Escola Conectada
15145174;Satélite;Escola Conectada;Escola Conectada
15006425;Satélite;Escola Conectada;Escola Conectada
15017680;Satélite;Escola Conectada;Escola Conectada
15017770;Satélite;Escola Conectada;Escola Conectada
15017710;Satélite;Escola Conectada;Escola Conectada
15023486;;Pendência Operacional;Sem EN (ex-EACE)
15016773;Satélite;Escola Conectada;Escola Conectada
15016951;Satélite;Escola Conectada;Escola Conectada
15024008;;Pendência Operacional;Sem EN (ex-EACE)
15017788;Satélite;Escola Conectada;Escola Conectada
15023699;;Pendência Operacional;Sem EN (ex-EACE)
15017583;Satélite;Escola Conectada;Escola Conectada
15016862;Satélite;Escola Conectada;Escola Conectada
15008410;Rádio;Escola Conectada;Escola Conectada
15557189;;Pendência Operacional;Sem EN (ex-EACE)
15007065;Fibra;Escola Conectada;Escola Conectada
15024180;;Pendência Operacional;Sem EN (ex-EACE)
15544583;Fibra;Escola Conectada;Escola Conectada
15145042;Satélite;Escola Conectada;Escola Conectada
15584615;Satélite;Saldo;Saldo
15017052;Satélite;Escola Conectada;Escola Conectada
15535088;Satélite;Escola Conectada;Escola Conectada
15099016;Satélite;Escola Conectada;Escola Conectada
15517179;Satélite;Escola Conectada;Escola Conectada
15550613;Satélite;Escola Conectada;Escola Conectada
15517195;Satélite;Escola Conectada;Escola Conectada
15537838;Satélite;Escola Conectada;Escola Conectada
15024334;Satélite;Escola Conectada;Escola Conectada
15537919;Satélite;Escola Conectada;Escola Conectada
15550702;Satélite;Escola Conectada;Escola Conectada
15538117;Satélite;Escola Conectada;Escola Conectada
15017532;;Pendência Operacional;Sem EN (ex-EACE)
15550710;Satélite;Escola Conectada;Escola Conectada
15017842;;Pendência Operacional;Sem EN (ex-EACE)
15550745;Satélite;Escola Conectada;Escola Conectada
15533794;;Pendência Operacional;Sem EN (ex-EACE)
15099784;Satélite;Escola Conectada;Escola Conectada
15017850;;Pendência Operacional;Sem EN (ex-EACE)
15539512;Satélite;Escola Conectada;Escola Conectada
15099040;Satélite;Escola Conectada;Escola Conectada
15557650;Satélite;Escola Conectada;Escola Conectada
15557073;Satélite;Escola Conectada;Escola Conectada
15557316;Satélite;Escola Conectada;Escola Conectada
15557235;Satélite;Escola Conectada;Escola Conectada
15557332;Satélite;Escola Conectada;Escola Conectada
12054224;;Pendência Escola;Desativada
15567516;Satélite;Escola Conectada;Escola Conectada
12016101;;Pendência Escola;Desativada
15557561;Satélite;Escola Conectada;Escola Conectada
12033430;;Pendência Escola;Desativada
15557324;Satélite;Escola Conectada;Escola Conectada
12026166;;Pendência Escola;Desativada
15005828;Satélite;Escola Conectada;Escola Conectada
12021954;;Pendência Escola;Desativada
15006026;Satélite;Escola Conectada;Escola Conectada
12001155;;Pendência Escola;Desativada
15145220;Satélite;Escola Conectada;Escola Conectada
12027022;;Pendência Escola;Desativada
15016790;Satélite;Escola Conectada;Escola Conectada
12032000;;Pendência Escola;Desativada
15017176;Satélite;Escola Conectada;Escola Conectada
15145000;;Pendência Escola;Desativada
15016986;Rádio;Escola Conectada;Escola Conectada
15562840;Satélite;Escola Conectada;Escola Conectada
15575357;Satélite;Escola Conectada;Escola Conectada
15165264;Satélite;Escola Conectada;Escola Conectada
15165272;Satélite;Escola Conectada;Escola Conectada
15174158;Satélite;Escola Conectada;Escola Conectada
15163180;Satélite;Escola Conectada;Escola Conectada
15165353;Satélite;Escola Conectada;Escola Conectada
15174182;Satélite;Escola Conectada;Escola Conectada
15165280;Satélite;Escola Conectada;Escola Conectada
15117030;Satélite;Escola Conectada;Escola Conectada
15208028;Satélite;Escola Conectada;Escola Conectada
15163172;Satélite;Escola Conectada;Escola Conectada
15163164;Satélite;Escola Conectada;Escola Conectada
15174174;Satélite;Escola Conectada;Escola Conectada
15174190;Satélite;Escola Conectada;Escola Conectada
15546730;;Pendência Contratação RE;A contratar
15159639;Satélite;Escola Conectada;Escola Conectada
15022609;;Pendência Contratação RE;A contratar
15159655;Satélite;Escola Conectada;Escola Conectada
15023290;;Pendência Contratação RE;A contratar
15547230;Satélite;Escola Conectada;Escola Conectada
15023346;;Pendência Contratação RE;A contratar
15121011;Satélite;Escola Conectada;Escola Conectada
15023354;;Pendência Contratação RE;A contratar
15166929;Satélite;Escola Conectada;Escola Conectada
15546683;;Pendência Contratação RE;A contratar
15163210;Satélite;Escola Conectada;Escola Conectada
15549399;;Pendência Contratação RE;A contratar
15156940;Satélite;Escola Conectada;Escola Conectada
15022838;;Pendência Contratação RE;A contratar
15163229;Satélite;Escola Conectada;Escola Conectada
15022579;;Pendência Contratação RE;A contratar
15174204;Satélite;Escola Conectada;Escola Conectada
15549380;;Pendência Contratação RE;A contratar
15152650;Satélite;Escola Conectada;Escola Conectada
15023990;;Pendência Contratação RE;A contratar
15171370;Satélite;Escola Conectada;Escola Conectada
15023265;;Pendência Contratação RE;A contratar
15163237;Satélite;Escola Conectada;Escola Conectada
15022650;;Pendência Contratação RE;A contratar
15155960;Satélite;Escola Conectada;Escola Conectada
15546667;;Pendência Contratação RE;A contratar
15156923;Satélite;Escola Conectada;Escola Conectada
15024040;;Pendência Contratação RE;A contratar
15568792;Satélite;Escola Conectada;Escola Conectada
15024032;;Pendência Contratação RE;A contratar
15546837;Satélite;Escola Conectada;Escola Conectada
15022773;;Pendência Contratação RE;A contratar
15120040;Satélite;Escola Conectada;Escola Conectada
15549496;;Pendência Contratação RE;A contratar
15156931;Satélite;Escola Conectada;Escola Conectada
15543048;;Pendência Contratação RE;A contratar
15166937;Satélite;Escola Conectada;Escola Conectada
15023800;;Pendência Contratação RE;A contratar
15174115;Satélite;Escola Conectada;Escola Conectada
15024067;;Pendência Contratação RE;A contratar
15152677;Satélite;Escola Conectada;Escola Conectada
15023818;;Pendência Contratação RE;A contratar
15172813;Satélite;Escola Conectada;Escola Conectada
15023435;;Pendência Contratação RE;A contratar
15163202;Satélite;Escola Conectada;Escola Conectada
15023524;;Pendência Contratação RE;A contratar
15175081;Satélite;Escola Conectada;Escola Conectada
15022978;;Pendência Contratação RE;A contratar
15174131;Satélite;Escola Conectada;Escola Conectada
15024130;;Pendência Contratação RE;A contratar
15547221;Satélite;Escola Conectada;Escola Conectada
15543030;;Pendência Contratação RE;A contratar
15175111;Satélite;Escola Conectada;Escola Conectada
15544630;;Pendência Contratação RE;A contratar
15120031;Satélite;Escola Conectada;Escola Conectada
15006050;;Pendência Operacional;Em obras
15159663;Satélite;Escola Conectada;Escola Conectada
15006263;;Pendência Contratação RE;A contratar
15174123;Satélite;Escola Conectada;Escola Conectada
15005720;;Pendência Contratação RE;A contratar
15174140;Satélite;Escola Conectada;Escola Conectada
15006506;;Pendência Contratação RE;A contratar
15116026;Satélite;Escola Conectada;Escola Conectada
15562859;;Pendência Contratação RE;A contratar
15211029;Satélite;Escola Conectada;Escola Conectada
15006522;;Pendência Contratação RE;A contratar
15165299;Satélite;Escola Conectada;Escola Conectada
15556026;;Pendência Contratação RE;A contratar
15165302;Satélite;Escola Conectada;Escola Conectada
15006654;;Pendência Contratação RE;A contratar
15176150;Satélite;Escola Conectada;Escola Conectada
15572382;;Pendência Contratação RE;A contratar
15121003;Satélite;Escola Conectada;Escola Conectada
15544664;;Pendência Contratação RE;A contratar
15165329;Satélite;Escola Conectada;Escola Conectada
15016803;;Pendência Contratação RE;A contratar
15118029;Satélite;Escola Conectada;Escola Conectada
15017419;;Pendência Contratação RE;A contratar
15211037;Satélite;Escola Conectada;Escola Conectada
15016943;;Pendência Contratação RE;A contratar
15172805;Satélite;Escola Conectada;Escola Conectada
15017095;;Pendência Contratação RE;A contratar
15165345;Satélite;Escola Conectada;Escola Conectada
15017109;;Pendência Contratação RE;A contratar
15584402;Satélite;Escola Conectada;Escola Conectada
15017044;;Pendência Contratação RE;A contratar
15159647;Satélite;Escola Conectada;Escola Conectada
15017486;;Pendência Contratação RE;A contratar
15152685;Satélite;Escola Conectada;Escola Conectada
15017508;;Pendência Contratação RE;A contratar
15163199;Satélite;Escola Conectada;Escola Conectada
15567907;;Pendência Contratação RE;A contratar
15140504;Satélite;Escola Conectada;Escola Conectada
15017311;;Pendência Contratação RE;A contratar
15546845;Satélite;Escola Conectada;Escola Conectada
15568245;;Pendência Contratação RE;A contratar
15546861;Satélite;Escola Conectada;Escola Conectada
15534197;;Pendência Contratação RE;A contratar
15024369;Satélite;Escola Conectada;Escola Conectada
15017192;;Pendência Contratação RE;A contratar
15537943;Satélite;Escola Conectada;Escola Conectada
15017230;;Pendência Contratação RE;A contratar
15174166;Rádio;Escola Conectada;Escola Conectada
15017265;;Pendência Contratação RE;A contratar
15176258;Rádio;Escola Conectada;Escola Conectada
15017540;;Pendência Contratação RE;A contratar
15023672;Satélite;Escola Conectada;Escola Conectada
15568237;;Pendência Contratação RE;A contratar
15005399;Satélite;Escola Conectada;Escola Conectada
15017273;;Pendência Contratação RE;A contratar
15005780;Satélite;Escola Conectada;Escola Conectada
15540502;;Pendência Contratação RE;A contratar
15577090;Satélite;Escola Conectada;Escola Conectada
15017320;;Pendência Contratação RE;A contratar
15005550;Satélite;Escola Conectada;Escola Conectada
15017346;;Pendência Operacional;Em obras
15006328;Satélite;Escola Conectada;Escola Conectada
15017303;;Pendência Contratação RE;A contratar
15523390;Satélite;Escola Conectada;Escola Conectada
15017354;;Pendência Contratação RE;A contratar
15017737;Satélite;Escola Conectada;Escola Conectada
15017591;;Pendência Contratação RE;A contratar
15017745;Satélite;Escola Conectada;Escola Conectada
15017370;;Pendência Contratação RE;A contratar
15017753;Satélite;Escola Conectada;Escola Conectada
15099792;;Pendência Contratação RE;A contratar
15539148;Satélite;Escola Conectada;Escola Conectada
15017630;Satélite;Escola Conectada;Escola Conectada
15024202;Fibra;Escola Conectada;Escola Conectada
15557251;Fibra;Escola Conectada;Escola Conectada
15561224;Fibra;Escola Conectada;Escola Conectada
15223604;Fibra;Escola Conectada;Escola Conectada
15023656;Fibra;Escola Conectada;Escola Conectada
12016047;Rádio;Escola Conectada;Escola Conectada
15022617;;Escola Conectada;Escola Conectada
15016960;;Escola Conectada;Escola Conectada
15005933;Fibra;Escola Conectada;Escola Conectada
15006140;Fibra;Escola Conectada;Escola Conectada
15006255;Fibra;Escola Conectada;Escola Conectada
15523187;Fibra;Escola Conectada;Escola Conectada
15145166;Fibra;Escola Conectada;Escola Conectada
12022071;;Pendência Escola;Desativada
15007073;Fibra;Escola Conectada;Escola Conectada
15006670;Fibra;Escola Conectada;Escola Conectada
12000612;;Pendência Escola;Desativada
15005348;Fibra;Escola Conectada;Escola Conectada
15005518;Fibra;Escola Conectada;Escola Conectada
15005542;Fibra;Escola Conectada;Escola Conectada
15523349;Fibra;Escola Conectada;Escola Conectada
15145085;Fibra;Escola Conectada;Escola Conectada
15005208;Fibra;Escola Conectada;Escola Conectada
15558029;Fibra;Escola Conectada;Escola Conectada
15005607;Fibra;Escola Conectada;Escola Conectada
15006913;Rádio;Escola Conectada;Escola Conectada
15544605;Fibra;Escola Conectada;Escola Conectada
15544680;Fibra;Escola Conectada;Escola Conectada
15006603;Fibra;Escola Conectada;Escola Conectada
15006646;Fibra;Escola Conectada;Escola Conectada
15006743;Fibra;Escola Conectada;Escola Conectada
15006778;Fibra;Escola Conectada;Escola Conectada
15006808;Fibra;Escola Conectada;Escola Conectada
15572366;Fibra;Escola Conectada;Escola Conectada
15017451;Híbrido;Escola Conectada;Escola Conectada
15017141;Rádio;Escola Conectada;Escola Conectada
15565203;Fibra;Escola Conectada;Escola Conectada
15562310;Satélite;Escola Conectada;Escola Conectada
12015776;Rádio;Escola Conectada;Escola Conectada
15175073;;Pendência Operacional;Sem acesso
12000787;Fibra;Escola Conectada;Escola Conectada
15024288;Satélite;Escola Conectada;Escola Conectada
15517063;Satélite;Escola Conectada;Escola Conectada
15538044;Satélite;Escola Conectada;Escola Conectada
15024300;Satélite;Escola Conectada;Escola Conectada
15537692;Satélite;Escola Conectada;Escola Conectada
15537846;Satélite;Escola Conectada;Escola Conectada
15537978;Satélite;Escola Conectada;Escola Conectada
15100006;Satélite;Escola Conectada;Escola Conectada
15024342;Satélite;Escola Conectada;Escola Conectada
15550737;Satélite;Escola Conectada;Escola Conectada
15024385;Satélite;Escola Conectada;Escola Conectada
15537781;Satélite;Escola Conectada;Escola Conectada
15024393;Satélite;Escola Conectada;Escola Conectada
15538133;Satélite;Escola Conectada;Escola Conectada
15142060;Satélite;Escola Conectada;Escola Conectada
15538036;Satélite;Escola Conectada;Escola Conectada
15141985;Satélite;Escola Conectada;Escola Conectada
15517217;Satélite;Escola Conectada;Escola Conectada
15537714;Satélite;Escola Conectada;Escola Conectada
